default,conta_corrente,prazo_emprestimo_meses,historico_credito,proposito_emprestimo,valor_emprestimo,reserva_cc,tempo_emprego_atual,taxa_comp_salario,sexo_est_civil,outros_fiadores,anos_residencia_atual,propriedade,idade,outros_planos_financiamento,tipo_residencia,n_creditos_banco,status_emprego,n_dependentes,telefone,trabalhador_estrangeiro
0,< 0 DM,6,1,1,1169,1,,4,1,none,4,1,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,48,2,1,5951,2,,2,2,none,2,1,22,none,own,1,skilled employee / official,1,none,yes
0,no checking account,12,1,2,2096,2,,2,1,none,3,1,49,none,own,1,unskilled - resident,2,none,yes
0,< 0 DM,42,2,3,7882,2,,2,1,guarantor,4,2,45,none,for free,1,skilled employee / official,2,none,yes
1,< 0 DM,24,3,4,4870,2,,3,1,none,4,3,53,none,for free,2,skilled employee / official,2,none,yes
0,no checking account,36,2,2,9055,1,,2,1,none,4,3,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name ",yes
0,no checking account,24,2,3,2835,4,,3,1,none,4,2,53,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,36,2,5,6948,2,,2,1,none,2,4,35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,12,2,1,3059,5,,2,3,none,4,1,61,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... < 200 DM,30,1,4,5234,2,,4,4,none,2,4,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,0 <= ... < 200 DM,12,2,4,1295,2,,3,2,none,1,4,25,none,rent,1,skilled employee / official,1,none,yes
1,< 0 DM,48,2,6,4308,2,,3,2,none,4,2,24,none,rent,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,12,2,1,1567,2,,1,2,none,1,4,22,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
1,< 0 DM,24,1,4,1199,2,,4,1,none,4,4,60,none,own,2,unskilled - resident,1,none,yes
0,< 0 DM,15,2,4,1403,2,,2,2,none,4,4,28,none,rent,1,skilled employee / official,1,none,yes
1,< 0 DM,24,2,1,1282,3,,4,2,none,2,4,32,none,own,1,unskilled - resident,1,none,yes
0,no checking account,24,1,1,2424,1,,4,1,none,4,2,53,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,30,4,6,8072,1,,2,1,none,3,4,25,bank,own,3,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,24,2,5,12579,2,,4,2,none,2,3,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
0,no checking account,24,2,1,3430,4,,3,1,none,2,4,31,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
0,no checking account,9,1,4,2134,2,,4,1,none,4,4,48,none,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,6,2,1,2647,4,,2,1,none,3,1,44,none,rent,1,skilled employee / official,2,none,yes
0,< 0 DM,10,1,4,2241,2,,1,1,none,3,1,48,none,rent,2,unskilled - resident,2,none,no
0,0 <= ... < 200 DM,12,1,5,1804,3,,3,1,none,4,2,44,none,own,1,skilled employee / official,1,none,yes
0,no checking account,10,1,3,2069,1,,2,4,none,1,4,26,none,own,2,skilled employee / official,1,none,no
0,< 0 DM,6,2,3,1374,2,,1,1,none,2,1,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
0,no checking account,6,4,1,426,2,,4,4,none,4,4,39,none,own,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,12,5,1,409,5,,3,2,none,3,1,42,none,rent,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,7,2,1,2415,2,,3,1,guarantor,2,1,34,none,own,1,skilled employee / official,1,none,yes
1,< 0 DM,60,3,6,6836,2,,3,1,none,4,3,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,18,2,6,1913,5,,3,4,none,3,1,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
0,< 0 DM,24,2,3,4020,2,,2,1,none,2,4,27,stores,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,2,4,5866,3,,2,1,none,2,4,30,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
0,no checking account,12,1,6,1264,1,,4,1,none,4,3,57,none,rent,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,12,2,3,1474,2,,4,2,none,1,2,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
